num_genomes,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
16,diamond_fast,0.025794606983157206,0.004496575159940573,3.172065784643304e-17,0.09741533359211836,0.09779047926227247,0.07365848715187838,0.0736584871518784,0.3671217139453223,0.3612813989887769,0.07236031911128919
16,diamond_sensitive,0.026949511503592448,0.004375368755988307,0.0,0.09630373003217649,0.09718704068397796,0.07368186016755096,0.07368186016755099,0.36559808145432704,0.35732056135918233,0.07208151858956437
16,"sourmash,k=11",0.006094876427122452,0.04367851209140504,1.1214946133455537e-16,0.10093624624630972,0.08151908463392091,0.03942453545740348,0.039424535457403584,0.07665026824073456,0.11176023951301517,0.040368299592675315
16,"sourmash,k=15",0.0033659267775482784,0.039678299450854444,8.392497208503151e-17,0.10524292740564913,0.08451598966384748,0.03865892574633471,0.03865892574633467,0.07415936101848403,0.10846804306433606,0.038150751140569795
32,diamond_fast,0.014882471553599093,0.004838163491583734,3.172065784643304e-17,0.09378320607987294,0.09467159243423186,0.06169466499747887,0.06169466499747893,0.31963252640507994,0.31810279681992937,0.06107145008508055
32,diamond_sensitive,0.015851037669845833,0.0048138756072696205,4.485978453382214e-17,0.09277579725578677,0.0941479037709444,0.06092922953405274,0.0609292295340528,0.3167240978986938,0.3067294786002825,0.06021316866196603
32,"sourmash,k=11",0.0036168495300402817,0.040288549122189904,1.1214946133455537e-16,0.07730855001670006,0.0662744248637708,0.03599228859691246,0.035992288596912336,0.05515372043892781,0.09533709559035013,0.031228565670097012
32,"sourmash,k=15",0.0020168003156116644,0.03704348376677911,1.1102230246251565e-16,0.09016576301164606,0.07128811877496452,0.0338476282892918,0.03384762828929178,0.04931951868924893,0.08246824392093176,0.02636291909182829
64,diamond_fast,0.014368311904371782,0.002800160357319835,5.49417910395304e-17,0.08178565179706254,0.08262881676724051,0.05048205124358591,0.05048205124358591,0.2528947235204983,0.23523109568249917,0.05006632242929946
64,diamond_sensitive,0.014934331189820628,0.0028193563746761784,5.49417910395304e-17,0.08254726994273333,0.08277479916509209,0.05043965889762276,0.0504396588976227,0.25600381379566006,0.24784480328975558,0.05016531107221984
64,"sourmash,k=11",0.002820977208506031,0.03006085949536014,5.49417910395304e-17,0.06413009108901807,0.06112408170535801,0.03346922508325465,0.03346922508325467,0.046836598585251125,0.06737950064368672,0.028004466552094168
64,"sourmash,k=15",0.0014927808867994258,0.025934178092904814,1.1214946133455537e-16,0.07503445207714518,0.06447214517458275,0.028385883464403395,0.028385883464403554,0.0412182513094009,0.06084679498607249,0.023847843166836122
128,diamond_fast,0.009908659106031316,0.00288967028194466,1.1214946133455537e-16,0.0794135598298109,0.0804328011611608,0.04121815401759538,0.041218154017595376,0.19232718760358022,0.1873802016483611,0.0407314957192788
128,diamond_sensitive,0.010348479210795658,0.00279319094820524,8.971956906764428e-17,0.07927499979868227,0.0802158738249067,0.041087052606964984,0.04108705260696499,0.19022297266613988,0.1878851281167271,0.040599084511164195
128,"sourmash,k=11",0.0020538919802924062,0.02398031767048539,0.0,0.04872592583175393,0.03963868750812329,0.024739563877148624,0.024739563877148537,0.035265070035323344,0.04656633627320784,0.021441921637939933
128,"sourmash,k=15",0.0014233933159918553,0.021328671154067554,5.49417910395304e-17,0.04978568112317455,0.03813072541152249,0.02119022246314677,0.021190222463146613,0.0289014638314328,0.04013823980485596,0.018233497158087652
256,diamond_fast,0.005951805154681145,0.0021297399028123876,1.0030952767362003e-16,0.06472215965270961,0.06539092138085938,0.028476564858405468,0.028476564858405468,0.1363863758242431,0.13777219603507845,0.02805845736506056
256,diamond_sensitive,0.006375604943337674,0.002029035878956315,1.1102230246251565e-16,0.06439249753475015,0.06520679805425303,0.028427498981084175,0.028427498981084178,0.1378778623159482,0.1368402230332916,0.02795068703206494
256,"sourmash,k=11",0.001684536946554994,0.017115809586474323,0.0,0.03346121507423889,0.029070536246976572,0.018757787279774077,0.018757787279774042,0.024341006158260663,0.03253396186354929,0.015758203295061914
256,"sourmash,k=15",0.0010419336080277211,0.014431040261859115,0.0,0.03978155967517225,0.027943105802684227,0.015148060295668187,0.015148060295668203,0.019187255811506602,0.026095866133881446,0.012238273414586527
512,diamond_fast,0.005811616656052571,0.0019465201998601557,1.2285357956997882e-16,0.05901086309948605,0.05961607271445439,0.028637879729646425,0.02863787972964643,0.12057685329060515,0.1343334066281558,0.028383618216145507
512,diamond_sensitive,0.006263808532236702,0.001976062966050543,1.1437045835676348e-16,0.05913996137445954,0.0594450699308278,0.028826737470510476,0.02882673747051048,0.12012514713433745,0.13591624050521378,0.02858212598602541
512,"sourmash,k=11",0.0017342337996987213,0.019422083016105932,0.0,0.030103661087930552,0.028378901312271058,0.0216024752089925,0.021602475208992288,0.0323990807133192,0.045848381965029016,0.01923591550533036
512,"sourmash,k=15",0.0007468868698304783,0.017998867071332372,0.0,0.02605994228586116,0.023542069857715533,0.019405079139888752,0.019405079139888978,0.028213699393117138,0.04131335420072691,0.017131636145046664
1024,diamond_fast,0.004257278131005967,0.0018164586519718736,1.1102230246251565e-16,0.04027755693342209,0.04014002590992925,0.019443564702534503,0.019443564702534496,0.07469006871185363,0.07097048386277807,0.019321449441993713
